Band Number, Nominal Center Wavelength (int), Center Wavelength, Width (FWHM), Solar Irradiance, Rayleigh Optical Thickness, Depolarization Factor, k_oz (Ozone), k_no2 (NO2)
, nm, nm, nm, W/m^2/um,,,,
  1, 353,     352.528,      10.001,    1031.220,   6.110E-01,   3.066E-02,   8.284E-42,   4.790E-19
  2, 358,     358.256,      10.001,    1035.394,   5.707E-01,   3.052E-02,   1.257E-34,   5.122E-19
  3, 364,     363.984,      10.000,    1119.701,   5.323E-01,   3.038E-02,   2.879E-28,   5.432E-19
  4, 370,     369.712,      10.000,    1179.392,   5.005E-01,   3.026E-02,   1.129E-22,   5.655E-19
  5, 375,     375.440,      10.001,    1146.350,   4.696E-01,   3.014E-02,   8.060E-18,   5.855E-19
  6, 381,     381.168,      10.001,    1085.578,   4.414E-01,   3.003E-02,   9.973E-14,   6.013E-19
  7, 387,     386.896,      10.000,    1061.656,   4.132E-01,   2.991E-02,   2.060E-10,   6.152E-19
  8, 393,     392.624,      10.001,    1134.343,   3.876E-01,   2.981E-02,   6.928E-08,   6.228E-19
  9, 398,     398.352,      10.001,    1409.386,   3.630E-01,   2.970E-02,   3.745E-06,   6.261E-19
 10, 404,     404.080,      10.001,    1685.231,   3.443E-01,   2.962E-02,   4.394E-05,   6.168E-19
 11, 410,     409.808,      10.000,    1708.639,   3.255E-01,   2.954E-02,   1.696E-04,   6.125E-19
 12, 416,     415.536,      10.001,    1732.706,   3.071E-01,   2.946E-02,   3.416E-04,   5.963E-19
 13, 421,     421.264,      10.001,    1729.559,   2.905E-01,   2.938E-02,   6.250E-04,   5.883E-19
 14, 427,     426.992,      10.000,    1649.942,   2.749E-01,   2.931E-02,   1.010E-03,   5.649E-19
 15, 433,     432.720,      10.001,    1641.677,   2.593E-01,   2.923E-02,   1.458E-03,   5.449E-19
 16, 438,     438.448,      10.001,    1781.126,   2.453E-01,   2.917E-02,   2.295E-03,   5.166E-19
 17, 444,     444.176,      10.001,    1923.367,   2.327E-01,   2.910E-02,   3.179E-03,   4.931E-19
 18, 450,     449.904,      10.000,    2024.405,   2.209E-01,   2.905E-02,   3.880E-03,   4.723E-19
 19, 456,     455.632,      10.001,    2068.472,   2.098E-01,   2.899E-02,   5.447E-03,   4.377E-19
 20, 461,     461.360,      10.001,    2069.842,   1.994E-01,   2.893E-02,   7.609E-03,   4.218E-19
 21, 467,     467.088,      10.000,    2044.826,   1.895E-01,   2.888E-02,   8.829E-03,   3.827E-19
 22, 473,     472.816,      10.000,    2056.779,   1.801E-01,   2.883E-02,   1.105E-02,   3.618E-19
 23, 479,     478.544,      10.001,    2065.554,   1.715E-01,   2.878E-02,   1.570E-02,   3.391E-19
 24, 484,     484.272,      10.001,    1988.812,   1.635E-01,   2.874E-02,   1.927E-02,   3.003E-19
 25, 490,     490.000,      10.000,    1951.636,   1.556E-01,   2.869E-02,   2.106E-02,   2.891E-19
 26, 496,     495.728,      10.001,    1960.088,   1.484E-01,   2.865E-02,   2.560E-02,   2.595E-19
 27, 501,     501.456,      10.001,    1939.130,   1.415E-01,   2.861E-02,   3.416E-02,   2.268E-19
 28, 507,     507.184,      10.000,    1931.259,   1.351E-01,   2.857E-02,   4.012E-02,   2.254E-19
 29, 513,     512.912,      10.000,    1862.492,   1.292E-01,   2.853E-02,   4.239E-02,   2.003E-19
 30, 519,     518.640,      10.001,    1801.439,   1.233E-01,   2.850E-02,   4.755E-02,   1.692E-19
 31, 524,     524.368,      10.001,    1826.986,   1.178E-01,   2.846E-02,   5.721E-02,   1.670E-19
 32, 530,     530.096,      10.000,    1859.337,   1.127E-01,   2.843E-02,   6.830E-02,   1.519E-19
 33, 536,     535.824,      10.001,    1866.933,   1.079E-01,   2.840E-02,   7.493E-02,   1.208E-19
 34, 542,     541.552,      10.001,    1856.890,   1.033E-01,   2.837E-02,   8.009E-02,   1.169E-19
 35, 547,     547.280,      10.001,    1864.863,   9.893E-02,   2.834E-02,   8.637E-02,   1.171E-19
 36, 553,     553.008,      10.000,    1853.290,   9.486E-02,   2.831E-02,   9.307E-02,   9.464E-20
 37, 559,     558.736,      10.001,    1812.051,   9.096E-02,   2.828E-02,   1.030E-01,   7.579E-20
 38, 564,     564.464,      10.001,    1791.173,   8.722E-02,   2.826E-02,   1.148E-01,   7.951E-20
 39, 570,     570.192,      10.000,    1794.306,   8.368E-02,   2.823E-02,   1.235E-01,   7.544E-20
 40, 576,     575.920,      10.001,    1800.663,   8.035E-02,   2.820E-02,   1.256E-01,   5.655E-20
 41, 582,     581.648,      10.001,    1794.654,   7.719E-02,   2.818E-02,   1.222E-01,   4.673E-20
 42, 587,     587.376,      10.001,    1765.629,   7.418E-02,   2.816E-02,   1.204E-01,   4.961E-20
 43, 593,     593.104,      10.000,    1751.379,   7.128E-02,   2.814E-02,   1.255E-01,   4.843E-20
 44, 599,     598.832,      10.001,    1745.228,   6.856E-02,   2.811E-02,   1.338E-01,   3.776E-20
 45, 605,     604.560,      10.001,    1726.470,   6.596E-02,   2.809E-02,   1.351E-01,   2.776E-20
 46, 610,     610.288,      10.000,    1693.383,   6.349E-02,   2.807E-02,   1.268E-01,   2.777E-20
 47, 616,     616.016,      10.000,    1660.802,   6.111E-02,   2.805E-02,   1.155E-01,   3.120E-20
 48, 622,     621.744,      10.001,    1652.713,   5.884E-02,   2.803E-02,   1.062E-01,   2.540E-20
 49, 627,     627.472,      10.001,    1646.632,   5.669E-02,   2.802E-02,   9.817E-02,   1.765E-20
 50, 633,     633.200,      10.000,    1633.803,   5.464E-02,   2.800E-02,   8.979E-02,   1.433E-20
 51, 639,     638.928,      10.001,    1614.997,   5.268E-02,   2.798E-02,   8.099E-02,   1.574E-20
 52, 645,     644.656,      10.001,    1591.988,   5.081E-02,   2.797E-02,   7.277E-02,   1.741E-20
 53, 650,     650.384,      10.000,    1559.405,   4.903E-02,   2.795E-02,   6.582E-02,   1.431E-20
 54, 656,     656.112,      10.000,    1511.871,   4.731E-02,   2.793E-02,   5.945E-02,   9.132E-21
 55, 662,     661.840,      10.001,    1517.932,   4.564E-02,   2.792E-02,   5.332E-02,   6.535E-21
 56, 668,     667.568,      10.001,    1519.200,   4.409E-02,   2.790E-02,   4.736E-02,   7.960E-21
 57, 673,     673.296,      10.001,    1498.946,   4.259E-02,   2.789E-02,   4.161E-02,   9.380E-21
 58, 679,     679.024,      10.001,    1478.491,   4.115E-02,   2.787E-02,   3.679E-02,   7.719E-21
 59, 685,     684.752,      10.001,    1464.816,   3.977E-02,   2.786E-02,   3.278E-02,   5.229E-21
 60, 690,     690.480,      10.001,    1460.066,   3.845E-02,   2.785E-02,   2.864E-02,   3.504E-21
