Band Number, Nominal Center Wavelength (int), Center Wavelength, Width (FWHM), Solar Irradiance, Rayleigh Optical Thickness, Depolarization Factor, k_oz (Ozone), k_no2 (NO2)
, nm, nm, nm, W/m^2/um,,,,
  1, 443,     442.555,      19.694,    1884.352,   2.356E-01,   2.912E-02,   2.900E-03,   5.053E-19
  2, 492,     491.892,      64.257,    1960.255,   1.558E-01,   2.869E-02,   2.619E-02,   2.829E-19
  3, 560,     560.174,      34.798,    1822.721,   9.055E-02,   2.828E-02,   1.054E-01,   8.709E-20
  4, 665,     664.609,      30.609,    1512.865,   4.498E-02,   2.791E-02,   5.067E-02,   8.855E-21
  5, 704,     704.281,      13.983,    1424.803,   3.553E-02,   2.782E-02,   2.043E-02,   3.789E-21
  6, 740,     740.444,      13.644,    1286.868,   2.897E-02,   2.775E-02,   1.100E-02,   1.666E-21
  7, 783,     782.997,      19.017,    1162.055,   2.316E-02,   2.768E-02,   7.081E-03,   5.087E-22
  8, 835,     834.867,     104.784,    1041.863,   1.853E-02,   2.762E-02,   3.590E-03,   1.866E-22
  9, 865,     864.721,      20.476,     956.082,   1.549E-02,   2.757E-02,   2.180E-03,   2.890E-23
 10, 945,     945.128,      19.453,     812.911,   1.083E-02,   2.750E-02,   7.479E-04,   0.000E+00
 11,1374,    1373.505,      29.090,     367.108,   2.411E-03,   2.730E-02,   0.000E+00,   0.000E+00
 12,1613,    1613.484,      89.666,     245.580,   1.269E-03,   2.726E-02,   0.000E+00,   0.000E+00
 13,2200,    2199.668,     173.570,      85.247,   3.680E-04,   2.720E-02,   0.000E+00,   0.000E+00
