Band Number, Nominal Center Wavelength (int), Center Wavelength, Width (FWHM), Solar Irradiance, Rayleigh Optical Thickness, Depolarization Factor, k_oz (Ozone), k_no2 (NO2)
, nm, nm, nm, W/m^2/um,,,,
  1, 442,     442.248,      20.194,    1873.382,   2.366E-01,   2.912E-02,   2.837E-03,   5.072E-19
  2, 492,     491.654,      64.916,    1960.243,   1.563E-01,   2.869E-02,   2.592E-02,   2.844E-19
  3, 559,     559.229,      35.148,    1824.101,   9.115E-02,   2.828E-02,   1.042E-01,   8.920E-20
  4, 665,     664.789,      30.358,    1513.480,   4.489E-02,   2.791E-02,   5.033E-02,   8.658E-21
  5, 704,     703.935,      14.155,    1425.932,   3.559E-02,   2.782E-02,   2.055E-02,   3.752E-21
  6, 739,     739.097,      13.620,    1290.290,   2.920E-02,   2.775E-02,   1.096E-02,   1.494E-21
  7, 780,     779.994,      19.820,    1175.560,   2.353E-02,   2.768E-02,   7.322E-03,   4.277E-22
  8, 835,     834.840,     104.955,    1041.511,   1.851E-02,   2.762E-02,   3.559E-03,   1.882E-22
  9, 864,     864.066,      20.753,     954.784,   1.554E-02,   2.757E-02,   2.277E-03,   3.049E-23
 10, 943,     943.332,      19.523,     817.825,   1.092E-02,   2.750E-02,   7.461E-04,   9.177E-26
 11,1377,    1377.115,      29.746,     365.384,   2.387E-03,   2.730E-02,   0.000E+00,   0.000E+00
 12,1611,    1610.846,      93.523,     247.059,   1.280E-03,   2.726E-02,   0.000E+00,   0.000E+00
 13,2184,    2184.405,     183.431,      87.748,   3.800E-04,   2.720E-02,   0.000E+00,   0.000E+00
